idx,lng_gcj02,lat_gcj02,lng_wgs84,lat_wgs84,speed_kmh,altitude_m
0,116.2944271,40.0975156,116.28833938812295,40.09625463639724,0.4,27.2
1,116.2939736,40.097367,116.28788667479685,40.09610672374718,12.7,26.6
2,116.2935955,40.0974878,116.28750919470495,40.096228074655635,18.8,30.2
3,116.2934265,40.0978311,116.28734043385889,40.09657159803386,19.1,33.6
4,116.293309,40.0982116,116.287223081735,40.09695224220885,17.8,36.6
5,116.2930825,40.0984886,116.28699692290344,40.097229553484496,4.6,34.7
6,116.2929368,40.0988151,116.28685142279923,40.097556241807524,24.0,38.1
7,116.2928316,40.0992863,116.28674633706989,40.098027559560755,21.0,39.0
8,116.2925055,40.099483,116.2864207478808,40.09822471858404,20.5,38.7
9,116.2919566,40.0994066,116.28587275073522,40.09814911613949,28.3,35.1
10,116.2914379,40.099346,116.28535489289656,40.09808926189224,32.6,33.3
11,116.2909385,40.0992765,116.28485629625047,40.0980204742048,27.4,33.4
12,116.290418,40.0992185,116.28433662236749,40.09796320861423,25.4,30.9
13,116.2899156,40.09915,116.28383501217249,40.09789541168063,15.1,29.6
14,116.2898355,40.0991513,116.28375503572096,40.097896822228996,0.0,31.2
